Name,Score,Genres,Summary

Gladiator,8.5,"['Action', 'Adventure', 'Drama']","<span itemprop=""description"">    Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge.</span>"

Rear Window,8.5,"['Mystery', 'Thriller']","<span itemprop=""description"">    Professional photographer L.B. ""Jeff"" Jefferies breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.</span>"

Trainspotting,8.2,['Drama'],"<span itemprop=""description"">    A wild, freeform, Rabelaisian trip through the darkest recesses of Edinburgh low-life, focusing on Mark Renton and his attempt to give up his heroin habit, and how the latter affects his relationship with family and friends: Sean Connery wannabe Sick Boy, dimbulb Spud, psycho Begbie, 14-year-old girlfriend Diane, and clean-cut athlete Tommy, who's never touched drugs but can't help being curious about them...</span>"

Andrei Rublev,8.2,"['Biography', 'Drama', 'History']","<span itemprop=""description"">    Andreiv Rublev charts the life of the great icon painter through a turbulent period of 15th Century Russian history, a period marked by endless fighting between rival Princes and by Tatar invasions.</span>"

In the Mood for Love,8.1,"['Drama', 'Romance']","<span itemprop=""description"">    Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates.</span>"

The Battle of Algiers,8.1,"['Drama', 'War']","<span itemprop=""description"">    A film commissioned by the Algerian government that shows the Algerian revolution from both sides. The French foreign legion has left Vietnam in defeat and has something to prove. The Algerians are seeking independence. The two clash. The torture used by the French is contrasted with the Algerian's use of bombs in soda shops. A look at war as a nasty thing that harms and sullies everyone who participates in it.</span>"

Brief Encounter,8.1,"['Drama', 'Romance']","<span itemprop=""description"">    At a café on a railway station, housewife Laura Jesson meets doctor Alec Harvey. Although they are both already married, they gradually fall in love with each other. They continue to meet every Thursday in the small café, although they know that their love is impossible.</span>"

Casino Royale,8.0,"['Action', 'Adventure', 'Thriller']","<span itemprop=""description"">    James Bond goes on his first ever mission as a 00. Le Chiffre is a banker to the world's terrorists. He is participating in a poker game at Montenegro, where he must win back his money, in order to stay safe among the terrorist market. The boss of MI6, known simply as M sends Bond, along with Vesper Lynd to attend this game and prevent Le Chiffre from winning. Bond, using help from Felix Leiter, Mathis and having Vesper pose as his partner, enters the most important poker game in his already dangerous career. But if Bond defeats Le Chiffre, will he and Vesper Lynd remain safe?</span>"

The Wild Bunch,8.0,"['Action', 'Adventure', 'Western']","<span itemprop=""description"">    It's 1913, and the ""traditional"" American West is dying. Among the inhabitants of this dying era are an outlaw gang called ""The Wild Bunch."" After a failed railroad office robbery, the gang heads to Mexico to do one last job. Seeing their times and lives drifting away in the newly formed world of the 20th century, the gang takes the job and ends up in a brutally violent last stand against their enemies deemed to be corrupt, in a small Mexican town ruled by a ruthless general.</span>"

Midnight Cowboy,7.9,['Drama'],"<span itemprop=""description"">    Texas greenhorn Joe Buck arrives in New York City for the first time. Preening himself as a real ""hustler"", he finds that he is the one getting ""hustled"" until he teams up with a down-and-out but resilient outcast named Ratso Rizzo. The initial ""country cousin meets city cousin"" relationship deepens. In their efforts to bilk a hostile world rebuffing them at every turn, this unlikely pair progress from partners in shady business to comrades. Each has found his first real friend.</span>"

The Chaser,7.9,"['Action', 'Crime', 'Thriller']","<span itemprop=""description"">    Joong-ho is a dirty detective turned pimp in financial trouble as several of his girls have recently disappeared without clearing their debts. While trying to track them down, he finds a clue that the vanished girls were all called up by a same client whom one of his girls is meeting with right now.</span>"

Tangled,7.8,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","<span itemprop=""description"">    After receiving the healing powers from a magical flower, the baby Princess Rapunzel is kidnapped from the palace in the middle of the night by Mother Gothel. Mother Gothel knows that the flower's magical powers are now growing within the golden hair of Rapunzel, and to stay young, she must lock Rapunzel in her hidden tower. Rapunzel is now a teenager and her hair has grown to a length of 70-feet. The beautiful Rapunzel has been in the tower her entire life, and she is curious of the outside world. One day, the bandit Flynn Ryder scales the tower and is taken captive by Rapunzel. Rapunzel strikes a deal with the charming thief to act as her guide to travel to the place where the floating lights come from that she has seen every year on her birthday. Rapunzel is about to have the most exciting and magnificent journey of her life.</span>"

Blue Velvet,7.8,"['Drama', 'Mystery', 'Thriller']","<span itemprop=""description"">    College student Jeffrey Beaumont returns to his idyllic hometown of Lumberton to manage his father's hardware store while his father is hospitalized. Walking though a grassy meadow near the family home, Jeffrey finds a severed human ear. After an initial investigation, lead police Detective John Williams advises Jeffrey not to speak to anyone about the case as they investigate further. Detective Williams also tells Jeffrey that he cannot divulge any information about what the police know. Detective Williams' high school aged daughter, Sandy Williams, tells Jeffrey what she knows about the case from overhearing her father's private conversations on the matter: that it has to do with a nightclub singer named Dorothy Vallens, who lives in an older apartment building near the Beaumont home. His curiosity getting the better of him, Jeffrey, with Sandy's help, decides to find out more about the woman at the center of the case by breaking into Dorothy's apartment while he knows she's at work...</span>"

Awakenings,7.8,"['Biography', 'Drama']","<span itemprop=""description"">    1969. Dr. Malcolm Sayer is hired as a clinical physician at a psychiatric hospital in the Bronx, despite he only having a research background. The job is not ideal on his side as he has difficulties relating to people which is the reason he has focused on research projects not involving human subjects, while the hospital hires him somewhat out of desperation in not finding anyone else with the qualifications who wants the job. Most of his patients are in a semi-catatonic state and are housed in what some of the orderlies coin the ""garden"" ward, where all they can do for the patients is water and feed them. He notices that some of the patients, despite their generally catatonic state, respond in unusual ways to certain stimuli. In doing some research, he also finds that some common bonds between these patients are that they suffered from encephalitis in the 1920s or 1930s, and that their physical states are like they have Parkinson's disease frozen in time. As such, he is able to ...</span>"

Love and Death,7.8,"['Comedy', 'War']","<span itemprop=""description"">    In Russia, Boris Grushenko is in love with his pseudo-intellectual cousin Sonja, who loves him since he too is a pseudo-intellectual, but she is not in love with him. Instead she is in love with his brother Ivan. But as Ivan doesn't seem to return her affections, she is determined to marry someone - anyone - except Boris. If that person isn't the perfect husband, then she has to find a suitable lover in addition. Boris' pursuit of Sonja has to take a back seat in his life when he, a pacifist and coward, is forced to join the Russian Army to battle Napoleon's forces which have just invaded Austria. Despite Sonja not being in the picture while he's away at war, Boris' thoughts do not stray totally from women. Although they take these two divergent paths in their lives, those paths cross once again as they, together, both try to find the perfect spouse and lover, and try to assassinate Napoleon.</span>"

Match Point,7.7,"['Drama', 'Romance', 'Thriller']","<span itemprop=""description"">    From a humble background and with traditional values, Irish Chris Wilton is still struggling financially despite being a recently retired high ranked tennis pro. He has taken a job as a tennis instructor at an upscale London tennis club, although he knows there is a better life for him somewhere down the road. He is befriended by one of his students, wealthy Tom Hewett. Chris starts to date Tom's sister, Chloe Hewett, a girl-next-door type who is immediately attracted to Chris. Chloe quickly knows she wants to marry Chris, and through her businessman father, Alec Hewett, tries to help Chris and their future by getting him an executive job in Alec's company. In his life with the Hewetts, Chris begins to enjoy the finer things in life. Through it all however, Chris cannot help thinking about Nola Rice, a struggling American actress who he meets at the Hewett estate and who is Tom's unofficial fiancée. Nola is vivacious, and she knows the effect she has on men, including Chris. Unlike ...</span>"

A Hard Day's Night,7.7,"['Comedy', 'Music', 'Musical']","<span itemprop=""description"">    The Beatles--the world's most famous rock and roll band--travel from their home town of Liverpool to London to perform in a television broadcast. Along the way they must rescue Paul's unconventional grandfather from various misadventures and drummer Ringo goes missing just before the crucial concert.</span>"

Superbad,7.6,['Comedy'],"<span itemprop=""description"">    Seth and Evan are best friends, inseparable, navigating the last weeks of high school. Usually shunned by the popular kids, Seth and Evan luck into an invitation to a party, and spend a long day, with the help of their nerdy friend Fogell, trying to score enough alcohol to lubricate the party and inebriate two girls, Jules and Becca, so they can kick-start their sex lives and go off to college with a summer full of experience and new skills. Their quest is complicated by Fogell's falling in with two inept cops who both slow and assist the plan. If they do get the liquor to the party, what then? Is sex the only rite of passage at hand?</span>"

Falling Down,7.6,"['Crime', 'Drama', 'Thriller']","    On the day of his daughter's (Joey Hope Singer) birthday, William ""D-Fens"" Foster (Michael Douglas) is trying to get to his estranged ex-wife's (Barbara Hershey) house to see his daughter. He has a breakdown and leaves his car in a traffic jam in Los Angeles and decides to walk. Along the way he stops at a convenience store and tries to get some change for a phone call but the owner, Mister Lee (Michael Paul Chan), does not give him change. This destabilizes William who then breaks apart the shop with a baseball bat and goes to an isolated place to drink a coke. Two gangsters (Agustin Rodriguez & Eddie Frias) threaten him and he reacts by hitting them with the bat. D-FENS continues walking and stops at a phone booth. The gangsters hunt him down with their gang and shoot at him but crash their car. William goes nuts and takes their gym bag with weapons proceeding in his journey of rage against injustice. Meanwhile Sergeant Martin Prendergast (Robert Duvall</a>), who is working on his last ...</span>"

Leviathan,7.6,"['Crime', 'Drama']","<span itemprop=""description"">    On the outskirts of a small coastal town in the Barents Sea, where whales sometimes come to its bay, lives an ordinary family: Kolya (Aleksey Serebryakov), his wife Lilya (Elena Lyadova) and their teenage son Romka. The family is haunted by a local corrupted mayor (Roman Madyanov), who is trying to take away the land, a house and a small auto repair shop from Kolya. To save their homes Kolya calls his old Army friend in Moscow (Vladimir Vdovichenkov), who has now become an authoritative attorney. Together they decide to fight back and collect dirt on the mayor.</span>"

City Lights,8.6,"['Comedy', 'Drama', 'Romance']","<span itemprop=""description"">    A tramp falls in love with a beautiful blind girl. Her family is in financial trouble. The tramp's on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.</span>"